, 6150.0 <= x < 6180.0; y_205= 86.0 + 0.0x; interpolation
, 6180.0 <= x < 6210.0; y_206= 3571.0 + -0.5667x; interpolation
, 6210.0 <= x < 6240.0; y_207= 7485.0 + -1.2x; interpolation
, 6240.0 <= x < 6270.0; y_208= 1068.0 + -0.1667x; interpolation
, 6270.0 <= x < 6300.0; y_209= 236.0 + -0.0333x; interpolation
, 6300.0 <= x < 6330.0; y_210= 236.0 + -0.0333x; interpolation
, 6330.0 <= x < 6360.0; y_211= 236.0 + -0.0333x; interpolation
, 6360.0 <= x < 6390.0; y_212= 25.0 + 0.0x; interpolation
, 6390.0 <= x < 6420.0; y_213= 25.0 + 0.0x; interpolation
, 6420.0 <= x < 6450.0; y_214= 238.0 + -0.0333x; interpolation
, 6450.0 <= x < 6480.0; y_215= 24.0 + 0.0x; interpolation
, 6480.0 <= x < 6510.0; y_216= 239.0 + -0.0333x; interpolation
, 6510.0 <= x < 6540.0; y_217= 23.0 + 0.0x; interpolation
, 6540.0 <= x < 6570.0; y_218= 23.0 + 0.0x; interpolation
, 6570.0 <= x < 6600.0; y_219= 23.0 + 0.0x; interpolation
, 6600.0 <= x < 6630.0; y_220= 23.0 + 0.0x; interpolation
, 6630.0 <= x < 6660.0; y_221= 23.0 + 0.0x; interpolation
, 6660.0 <= x < 6690.0; y_222= 244.0 + -0.0333x; interpolation
, 6690.0 <= x < 6720.0; y_223= 244.0 + -0.0333x; interpolation
, 6720.0 <= x < 6750.0; y_224= -202.0 + 0.0333x; interpolation
, 6750.0 <= x < 6780.0; y_225= 246.0 + -0.0333x; interpolation
, 6780.0 <= x < 6810.0; y_226= 21.0 + 0.0x; interpolation
, 6810.0 <= x < 6840.0; y_227= 21.0 + 0.0x; interpolation
, 6840.0 <= x < 6870.0; y_228= 21.0 + 0.0x; interpolation
, 6870.0 <= x < 6900.0; y_229= 21.0 + 0.0x; interpolation
, 6900.0 <= x < 6930.0; y_230= 21.0 + 0.0x; interpolation
, 6930.0 <= x < 6960.0; y_231= 21.0 + 0.0x; interpolation
, 6960.0 <= x < 6990.0; y_232= 21.0 + 0.0x; interpolation
, 6990.0 <= x < 7020.0; y_233= 21.0 + 0.0x; interpolation
, 7020.0 <= x < 7050.0; y_234= 21.0 + 0.0x; interpolation
, 7050.0 <= x < 7080.0; y_235= 21.0 + 0.0x; interpolation
, 7080.0 <= x < 7110.0; y_236= 491.0 + -0.0667x; interpolation
, 7110.0 <= x < 7140.0; y_237= -453.0 + 0.0667x; interpolation
, 7140.0 <= x < 7170.0; y_238= 21.0 + 0.0x; interpolation
, 7170.0 <= x < 7200.0; y_239= 21.0 + 0.0x; interpolation
, 7200.0 <= x < 7230.0; y_240= 21.0 + 0.0x; interpolation
, 7230.0 <= x < 7260.0; y_241= 21.0 + 0.0x; interpolation
, 7260.0 <= x < 7290.0; y_242= 262.0 + -0.0333x; interpolation
, 7290.0 <= x < 7320.0; y_243= -222.0 + 0.0333x; interpolation
, 7320.0 <= x < 7350.0; y_244= 21.0 + 0.0x; interpolation
, 7350.0 <= x < 7380.0; y_245= 21.0 + 0.0x; interpolation
, 7380.0 <= x < 7410.0; y_246= 21.0 + 0.0x; interpolation
, 7410.0 <= x < 7440.0; y_247= 21.0 + 0.0x; interpolation
, 7440.0 <= x < 7470.0; y_248= 21.0 + 0.0x; interpolation
, 7470.0 <= x < 7500.0; y_249= 21.0 + 0.0x; interpolation
, 7500.0 <= x < 7530.0; y_250= 21.0 + 0.0x; interpolation
, 7530.0 <= x < 7560.0; y_251= 271.0 + -0.0333x; interpolation
, 7560.0 <= x < 7590.0; y_252= -231.0 + 0.0333x; interpolation
, 7590.0 <= x < 7620.0; y_253= 21.0 + 0.0x; interpolation
, 7620.0 <= x < 7650.0; y_254= 21.0 + 0.0x; interpolation
, 7650.0 <= x < 7680.0; y_255= 21.0 + 0.0x; interpolation
, 7680.0 <= x < 7710.0; y_256= 21.0 + 0.0x; interpolation
, 7710.0 <= x < 7740.0; y_257= 21.0 + 0.0x; interpolation
, 7740.0 <= x < 7770.0; y_258= 21.0 + 0.0x; interpolation
, 7770.0 <= x < 7800.0; y_259= 279.0 + -0.0333x; interpolation
, 7800.0 <= x < 7830.0; y_260= -239.0 + 0.0333x; interpolation
, 7830.0 <= x < 7860.0; y_261= 21.0 + 0.0x; interpolation
, 7860.0 <= x < 7890.0; y_262= 21.0 + 0.0x; interpolation
, 7890.0 <= x < 7920.0; y_263= 21.0 + 0.0x; interpolation
, 7920.0 <= x < 7950.0; y_264= 21.0 + 0.0x; interpolation
, 7950.0 <= x < 7980.0; y_265= 285.0 + -0.0333x; interpolation
, 7980.0 <= x < 8010.0; y_266= -245.0 + 0.0333x; interpolation
, 8010.0 <= x < 8040.0; y_267= 21.0 + 0.0x; interpolation
, 8040.0 <= x < 8070.0; y_268= 288.0 + -0.0333x; interpolation
, 8070.0 <= x < 8100.0; y_269= 20.0 + 0.0x; interpolation
, 8100.0 <= x < 8130.0; y_270= -249.0 + 0.0333x; interpolation
, 8130.0 <= x < 8160.0; y_271= 561.0 + -0.0667x; interpolation
, 8160.0 <= x < 8190.0; y_272= -252.0 + 0.0333x; interpolation
, 8190.0 <= x < 8220.0; y_273= 20.0 + 0.0x; interpolation
, 8220.0 <= x < 8250.0; y_274= 293.0 + -0.0333x; interpolation
, 8250.0 <= x < 8280.0; y_275= -255.0 + 0.0333x; interpolation
, 8280.0 <= x < 8310.0; y_276= 20.0 + 0.0x; interpolation
, 8310.0 <= x < 8340.0; y_277= 296.0 + -0.0333x; interpolation
, 8340.0 <= x < 8370.0; y_278= -535.0 + 0.0667x; interpolation
, 8370.0 <= x < 8400.0; y_279= 299.0 + -0.0333x; interpolation
, 8400.0 <= x < 8430.0; y_280= 20.0 + 0.0x; interpolation
, 8430.0 <= x < 8460.0; y_281= -260.0 + 0.0333x; interpolation
, 8460.0 <= x < 8490.0; y_282= 302.0 + -0.0333x; interpolation
, 8490.0 <= x < 8520.0; y_283= -262.0 + 0.0333x; interpolation
, 8520.0 <= x < 8550.0; y_284= 21.0 + 0.0x; interpolation
, 8550.0 <= x < 8580.0; y_285= 21.0 + 0.0x; interpolation
, 8580.0 <= x < 8610.0; y_286= 21.0 + 0.0x; interpolation
, 8610.0 <= x < 8640.0; y_287= 21.0 + 0.0x; interpolation
, 8640.0 <= x < 8670.0; y_288= 21.0 + 0.0x; interpolation
, 8670.0 <= x < 8700.0; y_289= 21.0 + 0.0x; interpolation
, 8700.0 <= x < 8730.0; y_290= 21.0 + 0.0x; interpolation
, 8730.0 <= x < 8760.0; y_291= 21.0 + 0.0x; interpolation
, 8760.0 <= x < 8790.0; y_292= 21.0 + 0.0x; interpolation
, 8790.0 <= x < 8820.0; y_293= 21.0 + 0.0x; interpolation
, 8820.0 <= x < 8850.0; y_294= 21.0 + 0.0x; interpolation
, 8850.0 <= x < 8880.0; y_295= 21.0 + 0.0x; interpolation
, 8880.0 <= x < 8910.0; y_296= 21.0 + 0.0x; interpolation
, 8910.0 <= x < 8940.0; y_297= 21.0 + 0.0x; interpolation
, 8940.0 <= x < 8970.0; y_298= 21.0 + 0.0x; interpolation
, 8970.0 <= x < 9000.0; y_299= 21.0 + 0.0x; interpolation
, 9000.0 <= x < 9030.0; y_300= 21.0 + 0.0x; interpolation
, 9030.0 <= x < 9060.0; y_301= 21.0 + 0.0x; interpolation
, 9060.0 <= x < 9090.0; y_302= 21.0 + 0.0x; interpolation
, 9090.0 <= x < 9120.0; y_303= 21.0 + 0.0x; interpolation
, 9120.0 <= x < 9150.0; y_304= 324.0 + -0.0333x; interpolation
, 9150.0 <= x < 9180.0; y_305= -284.0 + 0.0333x; interpolation
, 9180.0 <= x < 9210.0; y_306= 21.0 + 0.0x; interpolation
, 9210.0 <= x < 9240.0; y_307= 21.0 + 0.0x; interpolation
, 9240.0 <= x < 9270.0; y_308= 21.0 + 0.0x; interpolation
, 9270.0 <= x < 9300.0; y_309= 329.0 + -0.0333x; interpolation
, 9300.0 <= x < 9330.0; y_310= 20.0 + 0.0x; interpolation
, 9330.0 <= x < 9360.0; y_311= 20.0 + 0.0x; interpolation
, 9360.0 <= x < 9390.0; y_312= 331.0 + -0.0333x; interpolation
, 9390.0 <= x < 9420.0; y_313= -293.0 + 0.0333x; interpolation
, 9420.0 <= x < 9450.0; y_314= 333.0 + -0.0333x; interpolation
, 9450.0 <= x < 9480.0; y_315= -295.0 + 0.0333x; interpolation
, 9480.0 <= x < 9510.0; y_316= 20.0 + 0.0x; interpolation
, 9510.0 <= x < 9540.0; y_317= 20.0 + 0.0x; interpolation
